legacy_source,managed_source,drive_file_ids,legacy_chunks,managed_active_chunks,legacy_unique_tokens,managed_unique_tokens,shared_unique_tokens,jaccard_similarity,conclusion
anestesia__classificacao_tipos__capitulo_livro__sobecc__2017__v7.pdf,anestesia__classificacao_tipos__capitulo_livro__sobecc__2017__v7,1gBvFE2DRjXYHLP-Qspksx7t3GiBEfyjI,58,91,479,4151,49,0.0107,NOME_SEM_EQUIVALENCIA_DE_CONTEUDO — não excluir
anestesia__protocolo_assistencial_anestesia__artigo__relae__2017__v1.pdf,anestesia__protocolo_assistencial_anestesia__artigo__relae__2017__v1,1lyRAPNXfNubucSWp6tbrE_fjNCFh3fTd,96,73,1986,2178,1817,0.7742,VERSAO_RELACIONADA — manter ambas até validação documental
anestesia__resumo_anestesia__resumo_aula__ufsc__nao_disponivel__v1.pdf,anestesia__resumo_anestesia__resumo_aula__ufsc__nao_disponivel__v1,1rPHkdjmqyCHJYZZBJuYbFpTkSXo1gItE,23,12,387,372,372,0.9612,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
biblioteca__clinica_cirurgica__resumo__medcel__sem_data__v1.pdf,biblioteca__clinica_cirurgica__resumo__medcel__sem_data__v1,1uC-_-TFRVx4pPW90wwfm0nS8CzkzdcMY,528,780,10579,10478,10457,0.9865,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
biblioteca__diagnosticos_enfermagem_definicoes_classificacao__livro__nanda__2023__v12.pdf,biblioteca__diagnosticos_enfermagem_definicoes_classificacao__livro__nanda__2023__v12,18vXR395kiMezxuA4TcaQQJUmwOUsq8Bb,757,1195,11380,10564,9117,0.7108,VERSAO_RELACIONADA — manter ambas até validação documental
biblioteca__dicionario_termos_medicos_enfermagem__livro__organizacao_deocleciano_torrieri_guimaraes__2002__v1.pdf,biblioteca__dicionario_termos_medicos_enfermagem__livro__organizacao_deocleciano_torrieri_guimaraes__2002__v1,15cHzlZGfKjdm_Ml92ZMUUPQBSK-VoCzX,836,1341,20110,20156,20066,0.9934,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
biblioteca__enfermagem_cardiologia__livro__sbibae__2012__v1.pdf,biblioteca__enfermagem_cardiologia__livro__sbibae__2012__v1.pdf,1yqwQggFm8jU0UjF-FqHRp9ga3TKYfxhc,306,898,0,30680,0,0.0000,NOME_SEM_EQUIVALENCIA_DE_CONTEUDO — não excluir
biblioteca__exame_fisico_enfermagem__guia__elsevier__2012__v6.pdf,biblioteca__exame_fisico_enfermagem__guia__elsevier__2012__v6,1qdnqA_uxbTzakZ1sv3nSpObmOGMH_PF3,75,121,3398,3418,3298,0.9375,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
cuidados_pois__permeabilidade_vias_aereas_pos_operatorio__artigo__reben__2020__v1.pdf,cuidados_pois__permeabilidade_vias_aereas_pos_operatorio__artigo__reben__2020__v1,1vhBGYtuJbVsg2k8fh5x8ZFvL6SDC81fY,38,56,1433,1437,1429,0.9917,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
cuidados_pos__alta_hospitalar__aula__ufsc__nao_disponivel__v1.pdf,cuidados_pos__alta_hospitalar__aula__ufsc__nao_disponivel__v1,1RCyHau7fNnNhRka-atSPhppmAuW6JeRH,3,17,225,224,217,0.9353,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
