source,normalized_source,classification,decision,total_chunks,searchable_chunks,legacy_quarantined_chunks,staging_chunks,drive_file_ids,drive_paths,live_drive_file_ids,missing_from_live_drive_ids,manifest_missing_ids,manifest_without_live_drive_ids,manifest_states,job_states,same_normalized_name_peers,exact_chunk_hash_overlap,exact_chunk_overlap_ratio,legacy_fingerprint_sha256,managed_fingerprint_sha256
(Drive sem vetores) biblioteca__praticas_recomendadas__livro__sobecc__2013__v6,drive_sem_vetores_biblioteca_praticas_recomendadas_livro_sobecc_2013_v6,PENDENTE_DE_CONFIRMAÇÃO,"Arquivo existe no Drive, mas não possui vetores; reconciliar fila e worker.",0,0,0,0,1YUfjf2WG5FonQaOImCsAY6aHSuyK7XNL,ROOT/enfermagem_perioperatoria/biblioteca/biblioteca__praticas_recomendadas__livro__sobecc__2013__v6,1YUfjf2WG5FonQaOImCsAY6aHSuyK7XNL,,,,active,new:succeeded,,0,0.0000,,
(Drive sem vetores) biblioteca__tratado_enfermagem_medico_cirurgico__livro__brunner_suddarth__2011__v2.pdf,drive_sem_vetores_biblioteca_tratado_enfermagem_medico_cirurgico_livro_brunner_suddarth_2011_v2,PENDENTE_DE_CONFIRMAÇÃO,"Arquivo existe no Drive, mas não possui vetores; reconciliar fila e worker.",0,0,0,0,1rsAmg3UK8m_2fP4STqoiB_Zhyktnlw-W,ROOT/enfermagem_perioperatoria/biblioteca/biblioteca__tratado_enfermagem_medico_cirurgico__livro__brunner_suddarth__2011__v2.pdf,1rsAmg3UK8m_2fP4STqoiB_Zhyktnlw-W,,,,error,changed:queued,,0,0.0000,,
(Drive sem vetores) ferida__consenso_deiscencia__guia__wounds_international__2018__v1,drive_sem_vetores_ferida_consenso_deiscencia_guia_wounds_international_2018_v1,PENDENTE_DE_CONFIRMAÇÃO,"Arquivo existe no Drive, mas não possui vetores; reconciliar fila e worker.",0,0,0,0,1gu0sH0qoUa1kVbqtv0-Zz33OC4vvSEYD,ROOT/enfermagem_perioperatoria/ferida/ferida__consenso_deiscencia__guia__wounds_international__2018__v1,1gu0sH0qoUa1kVbqtv0-Zz33OC4vvSEYD,,,,active,new:succeeded,,0,0.0000,,
(Drive sem vetores) ferida__consenso_ferida_cirurgica__guia__wounds_international__2022__v1,drive_sem_vetores_ferida_consenso_ferida_cirurgica_guia_wounds_international_2022_v1,PENDENTE_DE_CONFIRMAÇÃO,"Arquivo existe no Drive, mas não possui vetores; reconciliar fila e worker.",0,0,0,0,1QIm6St6nnOIf7JXFwoXCy6-InqKhF2WI,ROOT/enfermagem_perioperatoria/ferida/ferida__consenso_ferida_cirurgica__guia__wounds_international__2022__v1,1QIm6St6nnOIf7JXFwoXCy6-InqKhF2WI,,,,active,new:succeeded,,0,0.0000,,
(Drive sem vetores) Manual Técnico - Tutor de Enfermagem.pdf,drive_sem_vetores_manual_tecnico_tutor_de_enfermagem,PENDENTE_DE_CONFIRMAÇÃO,"Arquivo existe no Drive, mas não possui vetores; reconciliar fila e worker.",0,0,0,0,1IEpBXcCPCvgrivRH57lEmK_0i_7Jr-Tf,ROOT/Manual Técnico - Tutor de Enfermagem.pdf,1IEpBXcCPCvgrivRH57lEmK_0i_7Jr-Tf,,,,active,,,0,0.0000,,
(Drive sem vetores) nutricao__nutrition_assessment__livro__nancy_munoz_melissa_bernstein__2019__v1.pdf,drive_sem_vetores_nutricao_nutrition_assessment_livro_nancy_munoz_melissa_bernstein_2019_v1,PENDENTE_DE_CONFIRMAÇÃO,"Arquivo existe no Drive, mas não possui vetores; reconciliar fila e worker.",0,0,0,0,1hPPWPIJJ6zc-C0Tnihf6fpVwlE13HaoL,ROOT/enfermagem_perioperatoria/nutricao/nutricao__nutrition_assessment__livro__nancy_munoz_melissa_bernstein__2019__v1.pdf,1hPPWPIJJ6zc-C0Tnihf6fpVwlE13HaoL,,1hPPWPIJJ6zc-C0Tnihf6fpVwlE13HaoL,,,new:queued,,0,0.0000,,
administrativo__plano_ensino_INT55224__plano__ufsc__2026_2.pdf,administrativo_plano_ensino_int55224_plano_ufsc_2026_2,ATIVO,Manter pesquisável; validar inventário e conteúdo.,64,64,0,0,1if-C_IzjQFeg3nPTTcXNWJKT8YooUHIR,ROOT/enfermagem_perioperatoria/administrativo/administrativo__plano_ensino_INT55224__plano__ufsc__2026_2.pdf,1if-C_IzjQFeg3nPTTcXNWJKT8YooUHIR,,,,active,,,0,0.0000,,720299e05280772680cb90b47449d8f7190785b9ffccfb21fe4a8d502355be7e
anestesia - sensações referidas pelo paciente apos anestesia regional.pdf,anestesia_sensacoes_referidas_pelo_paciente_apos_anestesia_regional,ATIVO,Manter pesquisável; validar inventário e conteúdo.,29,29,0,0,16j4EkVAvJLsAr-Fd0CzC6kbgYf9m1_Bx,ROOT/enfermagem_perioperatoria/anestesia/anestesia - sensações referidas pelo paciente apos anestesia regional.pdf,16j4EkVAvJLsAr-Fd0CzC6kbgYf9m1_Bx,,,,active,,,0,0.0000,,a1297bfafb9e723f8d3abdfceefa3cb3d67abb1e615536f20cfcfeba8fd71eec
anestesia__anestesia_geral_preditiva_dor_pos_operatoria__artigo__brjp__2020__v1.pdf,anestesia_anestesia_geral_preditiva_dor_pos_operatoria_artigo_brjp_2020_v1,ATIVO,Manter pesquisável; validar inventário e conteúdo.,40,40,0,0,1qm9DPpaum7YUlIiYiD8cjibHvnHSHvY6,ROOT/enfermagem_perioperatoria/anestesia/anestesia__anestesia_geral_preditiva_dor_pos_operatoria__artigo__brjp__2020__v1.pdf,1qm9DPpaum7YUlIiYiD8cjibHvnHSHvY6,,,,active,,,0,0.0000,,9e02649769dd6e5b51979dcce2c105470347f066e5b4cdac3491bb97493806c9
anestesia__assistencia_enfermagem_paciente_oncologico__artigo__reserach_society_development__2021__v1.pdf,anestesia_assistencia_enfermagem_paciente_oncologico_artigo_reserach_society_development_2021_v1,ATIVO,Manter pesquisável; validar inventário e conteúdo.,68,68,0,0,14JMPrRcdyR0xl1N90XQ5tOLfARHnmgOW,ROOT/enfermagem_perioperatoria/anestesia/anestesia__assistencia_enfermagem_paciente_oncologico__artigo__reserach_society_development__2021__v1.pdf,14JMPrRcdyR0xl1N90XQ5tOLfARHnmgOW,,,,active,,,0,0.0000,,69fa07b3d0abab3b9a81417ad7dd5a61528f795b71440989b08bf574c49e5cec
anestesia__classificacao_tipos__capitulo_livro__sobecc__2017__v7,anestesia_classificacao_tipos_capitulo_livro_sobecc_2017_v7,ATIVO,Manter pesquisável; validar inventário e conteúdo.,91,91,0,0,1gBvFE2DRjXYHLP-Qspksx7t3GiBEfyjI,ROOT/enfermagem_perioperatoria/anestesia/anestesia__classificacao_tipos__capitulo_livro__sobecc__2017__v7,1gBvFE2DRjXYHLP-Qspksx7t3GiBEfyjI,,,,active,,anestesia__classificacao_tipos__capitulo_livro__sobecc__2017__v7.pdf,0,0.0000,,d4818cb8b75c36f841f75107b4c0e42f56bd16c878bd2c58adff67a1d727e255
anestesia__classificacao_tipos__capitulo_livro__sobecc__2017__v7.pdf,anestesia_classificacao_tipos_capitulo_livro_sobecc_2017_v7,PENDENTE_DE_CONFIRMAÇÃO,Possível duplicata por nome normalizado; comparar conteúdo com os pares antes de excluir.,58,0,58,0,,,,,,,,,anestesia__classificacao_tipos__capitulo_livro__sobecc__2017__v7,0,0.0000,e9426b3c575cfd6a4c1b59175af129ad735e20ebde009444f54ae3c44586eaa2,
anestesia__complicacoes_sala_recuperacao_pos_anestesica__artigo__sobecc__2018__v1.pdf,anestesia_complicacoes_sala_recuperacao_pos_anestesica_artigo_sobecc_2018_v1,ATIVO,Manter pesquisável; validar inventário e conteúdo.,49,49,0,0,1nibYV0oDN8fWL_sVezweYwDXVQ4-7J-p,ROOT/enfermagem_perioperatoria/anestesia/anestesia__complicacoes_sala_recuperacao_pos_anestesica__artigo__sobecc__2018__v1.pdf,1nibYV0oDN8fWL_sVezweYwDXVQ4-7J-p,,,,active,,,0,0.0000,,a9a4c19d96d0983d6c4c064a2a945d39b090f769fff7d5ca9b032532cc732995
anestesia__papel_enfermagem_perioperatória_anestesia__artigo__revista_escola_de_enfermagem_da_usp__2021__v1.pdf,anestesia_papel_enfermagem_perioperatoria_anestesia_artigo_revista_escola_de_enfermagem_da_usp_2021_v1,ATIVO,Manter pesquisável; validar inventário e conteúdo.,47,47,0,0,1nS-uUqHc6djf4-sf_oCg89yeyX7U1Vqh,ROOT/enfermagem_perioperatoria/anestesia/anestesia__papel_enfermagem_perioperatória_anestesia__artigo__revista_escola_de_enfermagem_da_usp__2021__v1.pdf,1nS-uUqHc6djf4-sf_oCg89yeyX7U1Vqh,,,,active,,,0,0.0000,,106098709662cde9f4dced4512873b9a788c6aef9325a9e2280fdfacb91e02a5
