kind,identifier,chunks,status,reference_author,reference_year,reference_title,reference_section
drive,1Zs9Egj29vROqQ5Jc_drE6Jr5-0_ai4j6,39,extração explícita — elegível para gravação,Segundo Cordás,2002,os obesos são mais in- dinheiro para o cobrador e eu ouvi o motoris-,
drive,1YZBXloGp4a2-hYLNDvlzZe-RwqQ_82bG,81,extração explícita — elegível para gravação,,,CAPÍTULO 5 –,Cap. 1
drive,11yYTHeY94hOPFBZaB2Zlt2Wiw2qxVuX4,49,extração explícita — elegível para gravação,Em,1990,foi criado o plano de Sistematização da Assistência de Enfermagem Perioperatório,
drive,1nAb093keQj_Yhc0ggBrbFitGFblbrudE,26,extração explícita — elegível para gravação,Março de,2016,"utilizando as seguintes palavras chaves, associado aos operadores booleanos: ‘Dor’ and ‘Dor",
drive,1UcXuZBX8B_e2GvymQHqisVur3Fryddx7,62,extração explícita — elegível para gravação,BrJP.,2025,v.8:e20250043 ● https://doi.org/10.63231/2595-0118.20250043-pt,
drive,1wHIhi2Yw7B-NCR3oN3tfBnlZ9I9f2fHu,269,extração explícita — elegível para gravação,"Foreword
In July",2018,"the authors of this document met in 1. Holistic patient assessment: physical, psychological,",
drive,1CPPdhEiV2JsIGCOXovYj7RwLn35BnUB6,93,extração explícita — elegível para gravação,December,2017,Studies with information on the number of cases of SSI and number of total elective clean,
drive,1x6ItDqToXxEVWogytRPZIMvj0k9s_eT3,15,extração explícita — elegível para gravação,DE ENFERMAGEM.,2017,"COFEN, Conselho Federal de Enfermagem. Resolução nº 278 de 16 de junho de 2003. Rio",
drive,1DlFt-yq4yEtwCfTbQ1tbesx4SBIaFFMt,56,extração explícita — elegível para gravação,Em,2015,a Organização das Nações Unidas reconheceu a,
drive,1if-C_IzjQFeg3nPTTcXNWJKT8YooUHIR,64,proposta de capa — não gravar automaticamente,,,UNIVERSIDADE FEDERAL DE SANTA CATARINA CENTRO DE CIÊNCIAS DA SAÚDE DEPARTAMENTO DE ENFERMAGEM,
drive,16j4EkVAvJLsAr-Fd0CzC6kbgYf9m1_Bx,29,proposta de capa — não gravar automaticamente,,,ARTIGO ORIGINAL AVALIAÇÃO DAS SENSAÇÕES REFERIDAS PELO PACIENTE APÓS SEDAÇÃO PARA ANESTESIA REGIONAL,
drive,14JMPrRcdyR0xl1N90XQ5tOLfARHnmgOW,68,proposta de capa — não gravar automaticamente,,,(CC BY 4.0) | ISSN 2525-3409 | DOI: http://dx.doi.org/10.33448/rsd-v10i5.14798 Assistência de enfermagem ao paciente oncológico submetido à anestesia,
drive,1nS-uUqHc6djf4-sf_oCg89yeyX7U1Vqh,47,proposta de capa — não gravar automaticamente,,,ARTIGO ORIGINAL https://doi.org/10.1590/1980-220X-REEUSP-2021-0465 Papel da Enfermagem perioperatória na anestesia: panorama nacional,
drive,1lyRAPNXfNubucSWp6tbrE_fjNCFh3fTd,73,proposta de capa — não gravar automaticamente,,,de enfermagem em anestesia1 Cassiane de Santana Lemos2,
drive,1rPHkdjmqyCHJYZZBJuYbFpTkSXo1gItE,12,proposta de capa — não gravar automaticamente,,,CEP.: 88040-970 - FLORIANÓPOLIS - SANTA CATARINA INT 5224 CUIDADO NO PROCESSO DE VIVER HUMANO: A CONDIÇÃO CIRÚRGICA DE SAÚDE Resumo Tipos de Anestesia e Atuação da Enfermagem,
drive,18vXR395kiMezxuA4TcaQQJUmwOUsq8Bb,1195,proposta de capa — não gravar automaticamente,,,meiro ENFERMAGEM DIAGNÓSTICOS,
drive,15cHzlZGfKjdm_Ml92ZMUUPQBSK-VoCzX,1341,proposta de capa — não gravar automaticamente,,,1. Enfermagem – Dicionários 2. Medicina – Dicionários I,
drive,1Mh_V8u_FP1r92gRcRHiR8P9DHC4rHGQy,493,proposta de capa — não gravar automaticamente,,,KLS ENFERMAGEM CENTRO CIRÚRGICO,
drive,1qdnqA_uxbTzakZ1sv3nSpObmOGMH_PF3,121,proposta de capa — não gravar automaticamente,,,GUIA DE BOLSO Guia de Exame Físico ENFERMAGEM PARA,
drive,1U34n6mhBI7TKPrrOJH77dErEq4MyOXTR,19,proposta de capa — não gravar automaticamente,,,PREVENÇÃO E TRATAMENTO DA OBESIDADE,
drive,1I5nkO-d9qMt_s1r3x4cPCJt29IgkIhtl,40,proposta de capa — não gravar automaticamente,,,Cirurgia Bariátrica: Indicações e Técnicas Cirúrgicas,
drive,1bAv0yjFJyAn6T--LXc3KCNFEsIt3wiTF,35,proposta de capa — não gravar automaticamente,,,E METABÓLICA Por Departamento De Cirurgia BariátriC a Guia para entender o tratamento com,
drive,1daAAVEUbXVkW77c7qhpW1jJx0MuWsMNj,23,proposta de capa — não gravar automaticamente,,,Brazilian Journal of Health Review 20743 ISSN: 2595-6825 Cirurgia bariátrica: uma revisão bibliográfica,
drive,133kL-UwvYfUO3tFNwnfryDUY_RmpK5gH,29,proposta de capa — não gravar automaticamente,,,doi.org/10.51891/rease.v10i8.15412 INOVAÇÕES NA CIRURGIA BARIÁTRICA: COMPARAÇÃO ENTRE,
